window,n_visible_tau,n_actions,lp_success,lp_solve_ms,lp_fractional_value,lp_rounded_expected_value,greedy_expected_value,lp_rounding_gap,lp_rounding_gap_rel,lighting_U1,conveyor_speed_V_mps,full_bins,lp_selected_count,lp_true_value,lp_correct_bin_rate,lp_contamination_events,lp_robot_utilization,greedy_selected_count,greedy_true_value,greedy_correct_bin_rate,greedy_contamination_events,greedy_robot_utilization,missed_positive_value_lp_proxy
142,11,49,True,0.6032500000001662,0.8829867598205469,0.7629147236696715,0.7629147236696715,0.12007203615087536,0.13598395991269235,standard,0.25,,2,1.040860976248147,1.0,0,0.54296875,2,1.040860976248147,1.0,0,0.54296875,0.7349526746956165
143,7,28,True,0.6393329999998532,2.5436640949527374,2.028948036880464,2.028948036880464,0.5147160580722732,0.20235221273657866,standard,0.65,,2,2.222294856566427,1.0,0,0.51328125,2,2.222294856566427,1.0,0,0.51328125,0.90399537264227
144,12,42,True,0.7296669999998784,1.5545916742954105,0.9607099033680097,0.9607099033680097,0.5938817709274008,0.38201785121264503,standard,0.45,,2,1.1951842864619124,1.0,0,0.5445312499999999,2,1.1951842864619124,1.0,0,0.5445312499999999,1.936363339077108
145,7,42,True,0.563499999999939,1.1330387121348084,1.0538161520795901,1.0538161520795901,0.07922256005521833,0.06992043538031599,standard,0.65,,3,1.7694257674455764,1.0,0,0.84453125,3,1.7694257674455764,1.0,0,0.84453125,0.22195205894164283
146,8,42,True,0.5352499999999871,1.3970398534690953,1.009237619898553,1.009237619898553,0.3878022335705422,0.2775885259161084,dim,0.25,organic,2,1.746220076663957,1.0,0,0.5773437499999999,2,1.746220076663957,1.0,0,0.5773437499999999,1.6302585160590484
147,12,32,True,0.5047089999998811,1.9260350751848956,1.7758463004488119,1.7758463004488119,0.15018877473608372,0.07797821372576295,standard,0.45,"glass,organic,hazard",2,1.9627298027213413,1.0,0,0.54296875,2,1.9627298027213413,1.0,0,0.54296875,0.6756641958746621
148,10,24,True,0.4322080000001005,0.4698754239515725,0.4698754239515725,0.3860516065098193,0.0,0.0,dim,0.25,PET,1,0.6437383698752474,1.0,0,0.328125,2,0.6275815943911458,1.0,0,0.57421875,0.5198451594162962
149,9,48,True,0.6573750000000711,0.9016131341759541,0.5508410651581973,0.4724381705678994,0.3507720690177568,0.38904942233162054,standard,0.25,HDPE,1,0.7557650868169911,1.0,0,0.24609375000000003,2,0.6218221274022672,0.5,1,0.51171875,0.651204893002166
150,4,18,True,0.520000000000076,0.7629195515619778,0.685421973185451,0.685421973185451,0.07749757837652682,0.10158027568943631,dim,0.25,PET,1,1.2855240751309573,1.0,0,0.234375,1,1.2855240751309573,1.0,0,0.234375,0.24472037637612476
151,6,28,True,0.6838750000000005,0.6073588271099291,0.5837015509441882,0.5837015509441882,0.02365727616574087,0.03895106996026093,standard,0.85,,1,0.7229781270970347,1.0,0,0.265625,1,0.7229781270970347,1.0,0,0.265625,0.7731402506375499
152,10,36,True,0.6129999999999747,1.1030461220407657,0.6187139265740592,0.5832679551847988,0.48433219546670647,0.43908607789730014,standard,0.85,organic,1,0.8700352562924646,1.0,0,0.265625,2,1.0032865376920375,1.0,0,0.61015625,1.5689751035710375
153,5,28,True,0.5080410000000146,1.4455558036992358,1.4197024789735764,1.4197024789735764,0.025853324725659377,0.017884695049128974,standard,0.25,,3,1.957961539817007,1.0,0,0.74765625,3,1.9579615398170067,1.0,0,0.74765625,0.2284974186471198
154,6,24,True,0.42258400000005913,0.4119876807887549,0.4119876807887549,0.398035278054225,0.0,0.0,standard,0.45,PET,1,0.6977336135135402,1.0,0,0.24609375000000003,2,0.7270390679033502,1.0,0,0.57421875,0.029305454389809915
155,6,12,True,0.39287499999995923,0.536720510626738,0.536720510626738,0.536720510626738,0.0,0.0,standard,0.85,organic,1,0.7485857253139303,1.0,0,0.29687499999999994,1,0.7485857253139303,1.0,0,0.29687499999999994,0.0
156,6,18,True,0.4170000000001117,0.10956912185365317,0.10956912185365317,-0.21978525898441267,0.0,0.0,standard,0.85,metal,1,0.18462615979757643,1.0,0,0.27890624999999997,2,-0.14489890567248262,0.5,1,0.51328125,0.008625665534874732
157,6,12,True,0.3841660000001301,1.6020059130422855,1.6020059130422855,1.6020059130422855,0.0,0.0,standard,0.65,metal,2,1.713783532603025,1.0,0,0.5445312499999999,2,1.713783532603025,1.0,0,0.5445312499999999,0.0
158,4,12,True,0.3793329999999262,0.8813006326018622,0.8813006326018622,0.8813006326018622,0.0,0.0,standard,0.85,glass,1,1.02248581528611,1.0,0,0.265625,1,1.02248581528611,1.0,0,0.265625,0.0
159,5,30,True,0.5019170000000184,1.139929797158197,0.8398386913648017,0.8398386913648017,0.30009110579339526,0.2632540236613793,standard,0.45,metal,2,1.0572399641701162,1.0,0,0.6070312499999999,2,1.0572399641701162,1.0,0,0.6070312499999999,0.9146104222508651
160,11,36,True,0.48441700000001475,0.871181044480223,0.6950110886781202,0.6180879124141314,0.17616995580210282,0.20221968432200216,dim,0.25,glass,1,0.9505311674035655,1.0,0,0.265625,2,0.9706355794328605,1.0,0,0.5773437499999999,0.788550413158901
161,6,35,True,0.4725830000000819,0.698937108590708,0.6542011503451007,0.6542011503451007,0.04473595824560728,0.06400569907614434,dim,0.65,,2,0.8562604208591146,1.0,0,0.57421875,2,0.8562604208591146,1.0,0,0.57421875,0.5674800811617361
162,5,7,True,0.37458300000015043,0.5847957798834728,0.5847957798834728,0.5847957798834728,0.0,0.0,standard,0.65,,1,0.8028109230959712,1.0,0,0.234375,1,0.8028109230959712,1.0,0,0.234375,0.0
